local,day,latitude,longitude,score
Avenida da Républica,2022-11-25,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-27,38.73593143,-9.145660419,6
Avenida da Républica,2022-11-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-29,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-30,38.73593143,-9.145660419,1
Avenida da Républica,2022-12-01,38.73593143,-9.145660419,6
Avenida da Républica,2022-12-02,38.73593143,-9.145660419,8
Avenida da Républica,2022-12-03,38.73593143,-9.145660419,6
Avenida da Républica,2022-12-04,38.73593143,-9.145660419,5
Avenida da Républica,2022-12-05,38.73593143,-9.145660419,7
