date,hour,y_true,y_pred,abs_err,sq_err
2022-06-19,5,47.0,53.28378378378378,6.283783783783782,39.48593864134403
2022-06-19,6,46.0,52.472972972972975,6.4729729729729755,41.8993791088386
2022-06-19,7,44.0,48.96621621621622,4.966216216216218,24.663303506208926
2022-06-19,8,45.0,42.601351351351354,2.3986486486486456,5.7535153396639735
2022-06-19,9,43.0,35.472972972972975,7.5270270270270245,56.65613586559529
2022-06-19,10,38.0,30.52027027027027,7.47972972972973,55.946356829802774
2022-06-19,11,36.0,29.14189189189189,6.858108108108109,47.033646822498184
2022-06-19,12,35.0,29.695945945945947,5.304054054054053,28.13298940832723
2022-06-19,13,36.0,29.945945945945947,6.054054054054053,36.65157048940831
2022-06-19,14,32.0,27.37837837837838,4.621621621621621,21.35938641344046
2022-06-19,15,29.0,27.43918918918919,1.5608108108108105,2.4361303871439
2022-06-19,16,22.0,30.31756756756757,8.317567567567568,69.18193024105187
2022-06-19,17,18.0,35.608108108108105,17.608108108108105,310.0454711468224
2022-06-19,18,16.0,40.86486486486486,24.864864864864863,618.2615047479911
2022-06-19,19,19.0,45.33108108108108,26.33108108108108,693.325830898466
2022-06-19,20,24.0,48.486486486486484,24.486486486486484,599.5880204528852
2022-06-19,21,28.0,50.08783783783784,22.08783783783784,487.8725803506209
2022-06-19,22,31.0,51.0,20.0,400.0
2022-06-19,23,34.0,51.91891891891892,17.91891891891892,321.0876552227904
2022-06-20,0,48.0,52.74324324324324,4.743243243243242,22.49835646457267
2022-06-20,1,51.0,53.229729729729726,2.2297297297297263,4.971694667640598
2022-06-20,2,51.0,53.391891891891895,2.3918918918918948,5.721146822498188
2022-06-20,3,51.0,53.432432432432435,2.432432432432435,5.916727538349173
2022-06-20,4,49.0,53.36486486486486,4.364864864864863,19.052045288531758
2022-06-20,5,48.0,53.28378378378378,5.283783783783782,27.918371073776466
2022-06-20,6,48.0,52.472972972972975,4.4729729729729755,20.0074872169467
2022-06-20,7,42.0,48.96621621621622,6.966216216216218,48.5281683710738
2022-06-20,8,27.0,42.601351351351354,15.601351351351354,243.40216398831274
2022-06-20,9,20.0,35.472972972972975,15.472972972972975,239.41289262235216
2022-06-20,10,22.0,30.52027027027027,8.52027027027027,72.59500547845143
2022-06-20,11,21.0,29.14189189189189,8.141891891891891,66.29040357925491
2022-06-20,12,24.0,29.695945945945947,5.695945945945947,32.443800219138076
2022-06-20,13,16.0,29.945945945945947,13.945945945945947,194.4894083272462
2022-06-20,14,14.0,27.37837837837838,13.378378378378379,178.9810080350621
2022-06-20,15,16.0,27.43918918918919,11.43918918918919,130.85504930606282
2022-06-20,16,16.0,30.31756756756757,14.317567567567568,204.9927410518627
2022-06-20,17,30.0,35.608108108108105,5.608108108108105,31.45087655222787
2022-06-20,18,45.0,40.86486486486486,4.135135135135137,17.099342585829085
2022-06-20,19,48.0,45.33108108108108,2.6689189189189193,7.123128195763333
2022-06-20,20,53.0,48.486486486486484,4.513513513513516,20.37180423666912
2022-06-20,21,55.0,50.08783783783784,4.912162162162161,24.12933710737764
2022-06-20,22,55.0,51.0,4.0,16.0
2022-06-20,23,55.0,51.91891891891892,3.0810810810810807,9.49306062819576
2022-06-21,0,55.0,52.74324324324324,2.256756756756758,5.09295105916728
2022-06-21,1,55.0,53.229729729729726,1.7702702702702737,3.133856829802788
2022-06-21,2,55.0,53.391891891891895,1.6081081081081052,2.5860116873630297
2022-06-21,3,55.0,53.432432432432435,1.5675675675675649,2.457268078889692
2022-06-21,4,54.0,53.36486486486486,0.6351351351351369,0.40339663988312857
2022-06-21,5,54.0,53.28378378378378,0.7162162162162176,0.5129656683710757
2022-06-21,6,53.0,52.472972972972975,0.5270270270270245,0.27775748721694404
2022-06-21,7,45.0,48.96621621621622,3.9662162162162176,15.73087107377649
2022-06-21,8,23.0,42.601351351351354,19.601351351351354,384.2129747991236
2022-06-21,9,9.0,35.472972972972975,26.472972972972975,700.8182980277576
2022-06-21,10,6.0,30.52027027027027,24.52027027027027,601.2436541271001
2022-06-21,11,14.0,29.14189189189189,15.141891891891891,229.27689006574138
2022-06-21,12,10.0,29.695945945945947,19.695945945945947,387.9302867056246
2022-06-21,13,9.0,29.945945945945947,20.945945945945947,438.73265157048945
2022-06-21,14,6.0,27.37837837837838,21.37837837837838,457.0350620891162
2022-06-21,15,10.0,27.43918918918919,17.43918918918919,304.1253195763331
2022-06-21,16,20.0,30.31756756756757,10.317567567567568,106.45220051132215
2022-06-21,17,42.0,35.608108108108105,6.391891891891895,40.85628195763334
2022-06-21,18,55.0,40.86486486486486,14.135135135135137,199.80204528853182
2022-06-21,19,57.0,45.33108108108108,11.66891891891892,136.1636687363039
2022-06-21,20,63.0,48.486486486486484,14.513513513513516,210.64207450693945
2022-06-21,21,64.0,50.08783783783784,13.912162162162161,193.54825602629654
2022-06-21,22,65.0,51.0,14.0,196.0
2022-06-21,23,66.0,51.91891891891892,14.08108108108108,198.27684441197954
2022-06-22,0,66.0,52.74324324324324,13.256756756756758,175.74159970781596
2022-06-22,1,66.0,53.229729729729726,12.770270270270274,163.07980277574882
2022-06-22,2,66.0,53.391891891891895,12.608108108108105,158.96439006574136
2022-06-22,3,66.0,53.432432432432435,12.567567567567565,157.9437545653761
2022-06-22,4,65.0,53.36486486486486,11.635135135135137,135.37636961285614
2022-06-22,5,65.0,53.28378378378378,11.716216216216218,137.26972242512787
2022-06-22,6,63.0,52.472972972972975,10.527027027027025,110.81829802775744
2022-06-22,7,54.0,48.96621621621622,5.033783783783782,25.338979181884575
2022-06-22,8,48.0,42.601351351351354,5.398648648648646,29.145407231555847
2022-06-22,9,35.0,35.472972972972975,0.47297297297297547,0.22370343316289498
2022-06-22,10,19.0,30.52027027027027,11.52027027027027,132.71662710007305
2022-06-22,11,21.0,29.14189189189189,8.141891891891891,66.29040357925491
2022-06-22,12,20.0,29.695945945945947,9.695945945945947,94.01136778670565
2022-06-22,13,14.0,29.945945945945947,15.945945945945947,254.27319211103
2022-06-22,14,21.0,27.37837837837838,6.378378378378379,40.6837107377648
2022-06-22,15,30.0,27.43918918918919,2.5608108108108105,6.557752008765521
2022-06-22,16,36.0,30.31756756756757,5.682432432432432,32.290038349159964
2022-06-22,17,42.0,35.608108108108105,6.391891891891895,40.85628195763334
2022-06-22,18,45.0,40.86486486486486,4.135135135135137,17.099342585829085
2022-06-22,19,50.0,45.33108108108108,4.668918918918919,21.79880387143901
2022-06-22,20,51.0,48.486486486486484,2.513513513513516,6.317750182615059
2022-06-22,21,50.0,50.08783783783784,0.0878378378378386,0.007715485756026432
2022-06-22,22,50.0,51.0,1.0,1.0
2022-06-22,23,50.0,51.91891891891892,1.9189189189189193,3.682249817384954
2022-06-23,0,49.0,52.74324324324324,3.743243243243242,14.011869978086185
2022-06-23,1,49.0,53.229729729729726,4.229729729729726,17.890613586559503
2022-06-23,2,49.0,53.391891891891895,4.391891891891895,19.288714390065767
2022-06-23,3,49.0,53.432432432432435,4.432432432432435,19.646457268078912
2022-06-23,4,48.0,53.36486486486486,5.364864864864863,28.781775018261484
2022-06-23,5,48.0,53.28378378378378,5.283783783783782,27.918371073776466
2022-06-23,6,46.0,52.472972972972975,6.4729729729729755,41.8993791088386
2022-06-23,7,40.0,48.96621621621622,8.966216216216218,80.39303323593866
2022-06-23,8,33.0,42.601351351351354,9.601351351351354,92.18594777209648
2022-06-23,9,24.0,35.472972972972975,11.472972972972975,131.62910883856836
2022-06-23,10,17.0,30.52027027027027,13.52027027027027,182.79770818115412
2022-06-23,11,15.0,29.14189189189189,14.141891891891891,199.9931062819576
2022-06-23,12,16.0,29.695945945945947,13.695945945945947,187.57893535427323
2022-06-23,13,13.0,29.945945945945947,16.945945945945947,287.1650840029219
2022-06-23,14,14.0,27.37837837837838,13.378378378378379,178.9810080350621
2022-06-23,15,17.0,27.43918918918919,10.43918918918919,108.97667092768445
2022-06-23,16,23.0,30.31756756756757,7.317567567567568,53.54679510591674
2022-06-23,17,31.0,35.608108108108105,4.608108108108105,21.23466033601166
2022-06-23,18,38.0,40.86486486486486,2.864864864864863,8.20745069393717
2022-06-23,19,49.0,45.33108108108108,3.6689189189189193,13.46096603360117
2022-06-23,20,49.0,48.486486486486484,0.5135135135135158,0.2636961285609958
2022-06-23,21,49.0,50.08783783783784,1.0878378378378386,1.1833911614317036
2022-06-23,22,51.0,51.0,0.0,0.0
2022-06-23,23,51.0,51.91891891891892,0.9189189189189193,0.8444119795471154
2022-06-24,0,52.0,52.74324324324324,0.7432432432432421,0.5524105186267332
2022-06-24,1,53.0,53.229729729729726,0.22972972972972627,0.05277574872169308
2022-06-24,2,54.0,53.391891891891895,0.6081081081081052,0.369795471146819
2022-06-24,3,54.0,53.432432432432435,0.5675675675675649,0.3221329437545623
2022-06-24,4,53.0,53.36486486486486,0.36486486486486314,0.13312636961285484
2022-06-24,5,53.0,53.28378378378378,0.28378378378378244,0.08053323593864058
2022-06-24,6,52.0,52.472972972972975,0.47297297297297547,0.22370343316289498
2022-06-24,7,46.0,48.96621621621622,2.9662162162162176,8.798438641344054
2022-06-24,8,41.0,42.601351351351354,1.6013513513513544,2.564326150474809
2022-06-24,9,34.0,35.472972972972975,1.4729729729729755,2.169649379108846
2022-06-24,10,29.0,30.52027027027027,1.5202702702702702,2.3112216946676405
2022-06-24,11,31.0,29.14189189189189,1.8581081081081088,3.452565741417095
2022-06-24,12,35.0,29.695945945945947,5.304054054054053,28.13298940832723
2022-06-24,13,35.0,29.945945945945947,5.054054054054053,25.543462381300206
